598.89	595.32	591.5	587.19	582.19	576.39	569.76	562.34	554.23	545.59	536.66	527.7	519.02	510.88	503.57	497.2	491.72	486.91	482.5	478.42	474.64	471.14	467.8	464.41	460.7	456.47	451.68	446.47	441.36	437.41	435.96	437.68	442.26	448.91	456.93	465.81	475.07	484.16	492.55	499.61	505.15	509.19	512.22	514.02	514.21	512.55	508.94	503.41	496.85	489.88	482.71	475.25	467.35	458.94	450.11	441.09	432.24	423.97	416.72	411.03	407.58	407.12	410.36	417.24	426.51	437.19	448.24	458.25	465.75	469.8	470.34	467.73	462.39	454.81	445.63	435.6	425.54	416.12	407.94	400.76	393.76	386.52
600.24	596.23	591.98	587.25	581.84	575.62	568.52	560.55	551.8	542.42	532.65	522.79	513.26	504.44	496.75	490.27	484.66	479.64	474.96	470.45	465.98	461.41	456.58	451.33	445.48	438.95	431.87	424.61	417.83	412.47	410.48	412.6	418.21	425.81	434.49	443.75	453.22	462.53	471.21	478.79	484.98	489.71	493.27	495.65	496.21	494.82	491.35	485.99	479.39	472.11	464.37	456.23	447.79	439.14	430.38	421.68	413.31	405.59	398.73	393.06	389.26	387.66	388.87	393.15	399.93	408.81	419.47	430.84	440.96	447.98	450.98	449.83	444.91	437.11	427.6	417.52	407.71	398.52	390.15	382.29	374.18	365.81
603.85	599.04	594.24	589.07	583.26	576.64	569.11	560.68	551.39	541.39	530.91	520.27	509.96	500.62	492.75	486.2	480.52	475.32	470.32	465.29	460.04	454.38	448.16	441.24	433.52	425.03	416.06	407.3	399.79	393.98	391.45	393.16	398.7	406.3	414.76	423.66	432.82	441.91	450.54	458.29	464.86	470.06	473.89	476.22	476.75	475.3	471.89	466.72	460.12	452.46	444.03	435.09	426.09	417.37	408.99	400.94	393.46	386.86	381.2	376.56	373.12	371.06	370.61	372.03	375.46	381.14	389.46	400.57	412.46	422.07	427.65	428.41	424.6	417.36	408.24	398.9	389.92	381.27	372.64	363.61	353.79	343.39
609.67	604.07	598.47	592.79	586.55	579.53	571.62	562.79	553.1	542.66	531.68	520.47	509.5	499.55	491.71	485.17	479.39	473.97	468.57	462.94	456.86	450.14	442.67	434.37	425.24	415.41	405.26	395.83	388.11	382.53	379.89	380.75	384.84	391.08	398.42	406.26	414.59	423.05	431.3	438.92	445.53	450.82	454.54	456.52	456.63	454.79	451.08	445.67	438.69	430.33	421	411.16	401.62	393.03	385.35	378.54	372.71	367.92	364.05	360.92	358.33	356.13	354.23	352.81	352.41	354.02	358.79	367.32	378.61	390.16	398.46	401.67	399.87	394.57	387.24	379.51	371.74	363.71	355.01	345.15	333.73	320.91
617.27	611.04	604.78	598.45	591.72	584.3	576.05	566.93	556.96	546.26	535.03	523.59	512.36	502.05	493.94	487.25	481.28	475.54	469.67	463.38	456.45	448.75	440.21	430.85	420.8	410.35	399.97	390.34	382.46	376.82	373.79	373.56	375.92	380.29	385.95	392.36	399.33	406.71	414.22	421.31	427.63	432.64	435.91	437.21	436.51	433.87	429.31	422.92	414.81	405.1	394.44	383.84	374.28	366.45	360.25	355.42	351.74	349.07	347.16	345.61	343.95	341.68	338.47	334.34	329.93	326.88	327.28	332.15	340.67	351.02	360.52	366.86	369	367.59	363.72	358.46	352.3	345.19	336.81	326.76	314.73	300.57
626.27	619.53	612.76	605.87	598.67	590.88	582.35	573.02	562.9	552.12	540.89	529.54	518.48	508.3	499.55	492.42	486.09	479.94	473.53	466.55	458.8	450.2	440.78	430.67	420.12	409.48	399.21	389.68	381.7	375.75	372.03	370.58	371.23	373.68	377.51	382.32	387.8	393.73	399.96	406.02	411.7	416.14	418.6	418.84	416.94	413.05	406.96	398.48	387.99	376.21	364.42	354.06	345.84	339.84	335.71	333.03	331.45	330.68	330.39	330.05	328.94	326.31	321.67	315.02	306.99	299.76	296.31	297.63	302.81	310.94	320.46	328.88	334.9	337.73	337.59	335.13	330.92	325.12	317.49	307.79	296.21	283.4
636.26	629.15	621.99	614.71	607.13	599.08	590.39	580.95	570.79	560.08	549.04	537.97	527.24	517.23	508.25	500.44	493.59	486.97	479.99	472.31	463.77	454.39	444.3	433.7	422.89	412.23	402.09	392.8	384.77	378.4	373.86	371.15	370.2	370.85	372.87	375.97	379.87	384.31	389.04	393.75	398.21	401.72	403.02	401.93	398.47	392.73	384.43	373.22	359.98	346.28	334.2	325.14	319.12	315.58	313.62	312.8	312.81	313.24	313.71	313.65	312.14	308.21	301.52	292.32	282.07	273.29	268.18	267.3	270.09	275.8	283.64	292.08	300.46	306.4	309.28	309.41	307.24	303.02	296.36	287.48	277.03	265.97
646.9	639.57	632.19	624.68	616.89	608.69	599.94	590.45	580.37	569.86	559.13	548.4	537.98	528.13	519.06	510.86	503.42	496.3	488.79	480.42	471.15	461.13	450.55	439.66	428.75	418.13	408.11	398.96	390.88	384.08	378.69	374.8	372.38	371.39	371.68	373.07	375.32	378.18	381.37	384.59	387.45	389.3	389.28	386.89	381.95	374.34	363.81	350.39	335	319.73	307.95	301.02	297.4	296.09	295.82	296.13	296.84	297.43	297.3	295.87	292.09	285.18	275.63	264.82	254.76	247.01	242.39	240.93	242.29	246.1	252.04	259.48	267.52	274.54	279.35	281.59	281.23	278.45	273.19	265.86	257.22	248.09
657.87	650.53	643.12	635.56	627.69	619.41	610.6	601.21	591.31	581.15	570.76	560.34	550.16	540.43	531.31	522.85	514.96	507.34	499.46	490.47	480.62	470.15	459.27	448.23	437.28	426.71	416.76	407.64	399.45	392.23	386.06	381.09	377.38	374.92	373.62	373.35	373.94	375.16	376.73	378.31	379.45	379.58	378.1	374.46	368.28	359.31	347.45	332.95	316.81	301.62	291.24	285.93	283.67	283.14	283.48	284.08	284.48	284.03	281.99	277.58	270.12	259.64	247.53	236.19	227.66	222.35	219.55	218.53	219.11	221.27	225.16	230.86	237.6	244.21	249.65	253.2	254.41	253.18	249.61	244.14	237.41	230.14
668.89	661.79	654.58	647.13	639.3	630.99	622.17	612.89	603.26	593.53	583.5	573.31	563.28	553.65	544.52	535.89	527.63	519.49	511.06	501.9	491.79	481.11	470.12	459.04	448.1	437.55	427.59	418.37	409.97	402.39	395.55	389.67	384.88	381.14	378.4	376.56	375.52	375.1	375.03	374.97	374.48	373.09	370.28	365.54	358.47	348.84	336.74	322.68	307.87	294.61	285.48	280.05	277.37	276.43	276.38	276.44	275.84	273.76	269.35	261.84	250.87	237.02	222.31	210.65	204.12	201.49	200.61	200.12	200.25	201.03	202.83	206.69	211.79	217.14	222.23	226.38	228.76	228.94	227.07	223.44	218.59	212.99
