LONGITUDE,LATITUDE
95.98,22.70
98.47,25.32
134.75,20.93
132.25,19.17
121.18,21.83
121.83,24.00
121.92,24.85
121.52,25.17
122.33,25.42
122.07,25.63
122.46,26.18
124.00,24.56
128.25,27.85
129.60,29.45
129.72,29.53
129.87,29.85
129.93,29.97
130.22,30.43
130.28,30.78
130.57,31.22
130.67,31.58
130.59,31.77
130.87,31.93
130.30,32.75
131.10,32.88
131.25,33.08
131.43,33.28
131.60,34.50
132.62,35.13
133.33,36.17
133.55,35.37
134.68,35.50
139.12,34.92
139.02,35.22
138.73,35.35
138.30,36.10
137.48,35.90
136.78,36.15
137.55,36.12
137.58,36.22
137.60,36.57
138.03,36.92
138.12,36.88
138.13,36.80
138.13,36.73
138.53,36.40
138.55,36.62
138.52,36.70
138.88,36.47
139.18,36.53
139.28,36.95
139.38,36.80
139.50,36.77
139.50,36.78
139.78,36.90
139.97,37.12
139.58,37.43
140.08,37.60
140.28,37.62
140.25,37.73
140.45,38.15
140.18,38.60
140.73,38.73
140.78,38.95
140.03,39.08
140.80,39.75
141.00,39.85
140.85,39.95
140.77,39.97
139.88,39.93
139.73,39.95
140.30,40.65
140.92,40.47
140.88,40.65
141.08,41.32
141.07,41.43
139.38,34.73
139.28,34.52
139.27,34.37
139.15,34.22
139.53,34.08
139.68,33.40
139.77,33.13
139.77,32.45
139.92,31.92
140.05,31.32
140.32,30.48
140.80,29.22
140.88,27.24
144.48,26.13
141.10,26.12
141.23,25.43
141.33,24.75
141.52,24.28
141.90,23.51
142.31,23.08
143.44,21.92
143.72,21.77
142.90,21.00
143.20,20.30
144.90,20.53
145.03,20.43
145.10,20.13
145.40,19.67
145.67,18.77
145.80,18.13
145.83,17.60
145.85,17.32
145.78,16.71
145.67,16.35
145.57,15.62
145.25,15.00
139.37,41.50
141.17,41.80
140.68,42.07
140.45,42.12
140.83,42.53
140.63,42.88
140.82,42.83
140.92,42.77
141.18,42.50
141.33,42.70
141.25,45.18
142.68,43.42
142.88,43.68
143.03,43.45
143.08,43.28
144.02,43.38
144.43,43.55
144.57,43.57
145.13,44.07
145.17,44.13
145.53,43.85
145.70,43.98
146.13,44.43
146.27,44.36
146.93,44.47
147.00,44.62
147.13,44.80
147.37,44.83
147.21,45.03
147.87,45.02
148.02,45.10
147.92,45.38
148.35,45.25
148.83,45.38
148.85,45.50
149.68,45.77
149.83,45.88
149.92,45.93
150.05,46.04
150.50,46.10
150.88,46.53
151.28,46.47
151.78,46.82
151.75,46.83
151.95,46.92
152.12,47.02
152.23,47.12
152.48,47.35
152.80,47.52
152.92,47.60
153.02,47.77
153.33,48.08
153.20,48.09
153.25,48.29
153.48,48.98
153.93,48.96
154.02,48.77
154.18,48.88
154.51,49.12
154.70,49.35
154.81,49.57
154.98,50.20
155.25,50.27
155.37,50.13
155.43,50.25
155.46,50.33
155.97,50.55
156.02,50.68
155.55,50.86
156.72,51.10
156.87,51.30
156.75,51.36
156.55,51.60
156.93,51.43
157.20,51.49
157.32,51.57
157.35,51.65
157.27,51.75
